t_left,t_right,h
0.0,0.001,0.001
0.001,0.005,0.004
0.005,0.021,0.016
0.021,0.06443402013517224,0.04343402013517224
0.06443402013517224,0.13081760357161937,0.06638358343644711
0.13081760357161937,0.21641734663280027,0.0855997430611809
0.21641734663280027,0.3142496413377961,0.09783229470499581
0.3142496413377961,0.41424964133779607,0.1
0.41424964133779607,0.514249641337796,0.1
0.514249641337796,0.614249641337796,0.1
0.614249641337796,0.714249641337796,0.1
0.714249641337796,0.814249641337796,0.1
0.814249641337796,0.914249641337796,0.1
0.914249641337796,1.014249641337796,0.1
1.014249641337796,1.114249641337796,0.1
1.114249641337796,1.2142496413377961,0.1
1.2142496413377961,1.3142496413377962,0.1
1.3142496413377962,1.4142496413377963,0.1
1.4142496413377963,1.5142496413377964,0.1
1.5142496413377964,1.6142496413377965,0.1
1.6142496413377965,1.7142496413377966,0.1
1.7142496413377966,1.8142496413377966,0.1
1.8142496413377966,1.9142496413377967,0.1
1.9142496413377967,2.0142496413377966,0.1
2.0142496413377966,2.1142496413377967,0.1
2.1142496413377967,2.214249641337797,0.1
2.214249641337797,2.314249641337797,0.1
2.314249641337797,2.414249641337797,0.1
2.414249641337797,2.514249641337797,0.1
2.514249641337797,2.614249641337797,0.1
2.614249641337797,2.7142496413377972,0.1
2.7142496413377972,2.8142496413377973,0.1
2.8142496413377973,2.9142496413377974,0.1
2.9142496413377974,3.0142496413377975,0.1
3.0142496413377975,3.1142496413377976,0.1
3.1142496413377976,3.2142496413377977,0.1
3.2142496413377977,3.3142496413377978,0.1
3.3142496413377978,3.414249641337798,0.1
3.414249641337798,3.514249641337798,0.1
3.514249641337798,3.614249641337798,0.1
3.614249641337798,3.714249641337798,0.1
3.714249641337798,3.814249641337798,0.1
3.814249641337798,3.9142496413377983,0.1
3.9142496413377983,4.014249641337798,0.1
4.014249641337798,4.114249641337798,0.1
4.114249641337798,4.214249641337798,0.1
4.214249641337798,4.314249641337797,0.1
4.314249641337797,4.414249641337797,0.1
4.414249641337797,4.514249641337797,0.1
4.514249641337797,4.614249641337796,0.1
4.614249641337796,4.714249641337796,0.1
4.714249641337796,4.8142496413377955,0.1
4.8142496413377955,4.914249641337795,0.1
4.914249641337795,4.924249641337795,0.010000000000000002
4.924249641337795,4.964249641337795,0.04000000000000001
4.964249641337795,4.974249641337795,0.010000000000000002
4.974249641337795,4.978249641337794,0.004000000000000001
4.978249641337794,4.994249641337794,0.016000000000000004
4.994249641337794,4.995311325028226,0.0010616836904315632
4.995311325028226,4.999558059789952,0.004246734761726253
4.999558059789952,4.999917077754899,0.00035901796494693875
4.999917077754899,4.999940970331998,2.3892577099322097e-05
4.999940970331998,4.999957651653106,1.6681321107455938e-05
4.999957651653106,4.999964324181549,6.672528442982376e-06
4.999964324181549,4.99999101429532,2.6690113771929503e-05
4.99999101429532,4.999992790589296,1.7762939758928827e-06
4.999992790589296,4.9999998957652,7.105175903571531e-06
4.9999998957652,4.999999916899422,2.113422210422379e-08
4.999999916899422,4.999999929532409,1.263298695522115e-08
4.999999929532409,4.999999980064357,5.05319478208846e-08
4.999999980064357,4.999999984006563,3.942206911286326e-09
4.999999984006563,4.999999992725651,8.719087778887924e-09
4.999999992725651,4.999999994085176,1.3595252000150434e-09
4.999999994085176,4.9999999995232765,5.4381008000601736e-09
4.9999999995232765,4.99999999992247,3.9919373819909236e-10
