N,h,Error_Eh,Estimated_Order
50,0.1,0.9378370142402654,
100,0.05,0.09565125070131764,3.2934814820235303
200,0.025,0.13038202941167598,-0.4468892982780284
400,0.0125,0.013906442223417304,3.228919758209246
800,0.00625,0.00011547526213062653,6.912025741568513
