N,h,Error_Eh,Estimated_Order
50,0.1,7.185701470908038,
100,0.05,2.4999203034572868,1.5232468969639035
200,0.025,0.9729686912233878,1.3614168160815256
400,0.0125,0.6041883120520355,0.6873951062581829
800,0.00625,0.31233355981769506,0.9519106822651113
