N,h,Error_Eh,Estimated_Order
50,0.4,7.079762463392669,
100,0.2,0.9076816913007152,2.9634425941083995
200,0.1,0.2637583974954004,1.782969430492768
400,0.05,0.1104620391399388,1.2556663617749746
800,0.025,0.05169503291376829,1.0954530932332331
