Method,nfev,error_inf
Euler,50,7.079762463392669
Euler,100,0.9076816913007152
Euler,200,0.2637583974954004
Euler,400,0.1104620391399388
Euler,800,0.05169503291376829
RK4,200,0.0008432859630364557
RK4,400,5.197377351378845e-05
RK4,800,3.2276731311989757e-06
RK4,1600,2.0100405586523701e-07
RK4,3200,1.2540051582010196e-08
RKF45,1224,3.519837083486274e-08
RKF45,1224,3.519837083486274e-08
RKF45,1224,3.519837083486274e-08
RKF45,1224,3.5006813662764053e-08
RKF45,1380,1.7332669304125506e-08
RKF45,2376,1.1731230893702352e-09
