N,h,Error_Eh,Estimated_Order
50,0.4,0.0008432859630364557,
100,0.2,5.197377351378845e-05,4.0201662265508
200,0.1,3.2276731311989757e-06,4.00921742016332
400,0.05,2.0100405586523701e-07,4.00519796568927
800,0.025,1.2540051582010196e-08,4.002609424817987
